,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿),剩余期限,是否永续
0,20国开15,99.88,3.714,-0.1,3.7183,,9.8685,否
1,20附息国债17,99.97,3.285,,3.3115,,6.989,否
2,20附息国债14,99.57,3.0348,-0.27,3.0587,,2.9123,否
3,20国开10,94.86,3.74,-0.25,3.7479,,9.5288,否
4,20国开12,99.69,3.41,0.25,3.4108,,4.6,否
5,18国开05,108.49,3.5175,0.69,3.4728,,7.1749,否
6,20附息国债11,99.42,2.9925,0.33,2.992,,1.6822,否
7,20附息国债12,99.24,3.853,-2.2,3.8659,,29.7699,否
8,20附息国债16,99.96,3.275,0.5,3.2778,,9.9507,否
9,20附息国债13,99.54,3.1225,1.25,3.1278,,4.874,否
10,20平安银行CD312,99.77,2.7492,,2.7492,,0.0765,否
11,20国开07,99.39,3.2375,-0.5,3.2511,,2.6658,否
12,20国开02,96.96,3.23,-3.18,3.1973,,2.337,否
13,20附息国债08,97.52,3.279,1.9,3.2672,,6.4904,否
14,20附息国债06,95.04,3.295,1.0,3.2863,,9.4521,否
15,20农业银行CD162,99.79,2.4997,,2.4997,,0.0765,否
16,20华夏银行CD455,99.77,2.7492,,2.7492,,0.0765,否
17,16国开06,100.01,2.8598,-2.04,2.865,,0.1995,否
18,20附息国债15,100.03,2.85,-2.25,2.8589,,0.9507,否
19,20附息国债05,95.30,3.165,2.0,3.1634,,4.337,否
20,18附息国债21,100.28,2.815,-1.5,2.79,,0.8438,否
21,20建设银行CD168,99.79,2.4997,,2.4997,,0.0765,否
22,20进出05,98.05,3.43,-0.5,3.4757,,4.2329,否
23,20平安证券CP012,100.00,3.2291,,3.2291,,0.2384,否
24,18国开12,100.50,2.9699,1.0,2.9599,,0.7507,否
25,19农发06,100.12,3.7205,-0.95,3.6449,,8.5945,否
26,20农发10,100.32,3.75,-1.0,3.8592,,9.8849,否
27,19国开03,99.89,3.335,-0.5,3.3369,,3.153,否
28,20民生银行CD504,99.24,3.0001,-19.96,3.0001,,0.1557,否
29,20浦发银行CD072,97.25,3.0902,4.0,3.0902,,0.2158,否
30,20贴现国债56,99.29,2.8499,-0.03,2.8085,,0.2104,否
31,20国开16,99.80,2.94,-2.0,2.9537,,0.7918,否
32,20中国银行CD051,98.54,3.1002,1.0,3.0837,,0.1776,否
33,20贴现国债58,99.30,2.83,-2.11,2.8553,,0.2301,否
34,20贴现国债53,99.34,2.6998,-5.0,2.6997,,0.153,否
35,20国开08,97.78,3.425,0.5,3.3811,,4.5397,否
36,20国开03,99.26,3.4261,0.86,3.4348,,4.0929,否
37,20飞驰建普2A,99.86,,,,,2.1366,否
38,20太原国投MTN001,100.00,4.4998,,4.4998,,4.9918,否
39,20天津农村商业银行CD596,99.13,3.5689,11.98,3.5076,,0.2356,否
40,20附息国债10,99.58,2.83,-1.01,2.8319,,0.6055,否
41,20进出06,99.61,2.8712,1.13,2.8543,,0.3096,否
42,20农发06,99.50,2.9597,-3.03,2.9609,,0.5781,否
43,19进出05,99.78,3.35,-1.0,3.3512,,3.1803,否
44,20进出14,99.79,2.96,-1.0,2.9729,,0.9041,否
45,20北京银行CD043,97.57,3.4501,1.0,3.4501,,0.4247,否
46,15国开04,100.36,3.534,83.52,3.534,,1.1639,否
47,20广州地铁MTN004,100.00,3.8398,,3.8398,,2.9918,否
48,20平安银行CD056,97.25,3.1001,-4.23,3.0924,,0.2158,否
49,20济南轨交SCP003,99.74,3.6457,,3.6496,,0.726,否
50,20浦发银行CD456,99.23,3.1554,15.52,3.1176,,0.1393,否
51,19国开02,99.97,3.05,-2.01,3.0484,,1.1148,否
52,16国开10,98.84,3.4192,-3.08,3.4274,,5.326,否
53,20北京银行CD082,96.89,3.3199,6.98,3.3283,,0.6411,否
54,20农发04,93.87,3.7475,0.75,3.6968,,9.3589,否
55,20附息国债02,99.10,2.979,0.9,2.9773,,1.1858,否
56,20国开11,99.27,2.93,-2.01,2.9302,,0.4466,否
57,20进出10,96.25,3.7129,-3.46,3.7008,,9.2904,否
58,20国开20,98.77,3.99,-0.5,3.9749,,19.6548,否
59,19附息国债06,100.07,3.28,1.0,3.2758,,8.4575,否
60,20兴业银行CD159,97.67,3.2001,-10.99,3.1875,,0.4438,否
61,20浦发银行CD452,99.23,3.1445,6.85,3.1365,,0.1366,否
62,18国开03,100.41,2.8601,0.01,2.8535,,0.2521,否
63,17农发12,101.62,3.21,1.0,3.209,,1.7096,否
64,18附息国债16,100.95,2.9115,-0.04,2.9116,,2.5945,否
65,20兴业银行CD432,99.24,3.1142,5.12,3.1058,,0.123,否
66,20兴业银行CD424,99.25,3.0716,5.17,3.0803,,0.1175,否
67,17附息国债21,101.81,2.7172,0.5,2.7173,,1.8658,否
68,17附息国债14,100.98,2.8245,-0.55,2.8244,,1.5973,否
69,14附息国债13,100.81,2.5273,8.55,2.5275,,0.5699,否
70,13进出21,103.57,3.2997,0.12,3.2996,,2.7178,否
71,16进出03,99.61,3.41,1.0,3.4192,,5.2104,否
72,17国开10,102.72,3.5507,-0.4,3.5503,,6.3397,否
73,20农发01,99.95,2.9002,1.0,2.9004,,0.0929,否
74,20龙源电力SCP014,99.99,2.2014,-5.08,2.2017,,0.0109,否
75,20附息国债09,98.26,3.0717,0.92,3.0676,,2.5671,否
76,20交通银行CD029,97.25,3.1001,-0.01,3.1062,,0.2213,否
77,19交通银行02,99.84,3.4355,-2.45,3.4355,,2.0164,否
78,20威海商行CD145,97.95,4.2325,53.25,3.8902,,0.4849,否
79,20农发03,99.33,2.9544,5.45,2.9666,,0.3589,否
80,19中石油MTN004,99.97,3.52,0.68,3.5206,,1.5863,否
81,19国开08,100.13,3.3755,-0.45,3.3834,,3.5671,否
82,19附息国债15,98.69,3.3,1.2,3.2989,,8.9562,否
84,20中国银行CD100,97.63,3.2463,5.62,3.2183,,0.6822,否
85,20浦发银行CD478,96.86,4.4735,123.35,3.4405,,0.6603,否
86,20天津银行CD057,97.32,3.26,1.01,3.26,,0.3096,否
87,20进出12,99.61,3.19,-2.31,3.1983,,1.674,否
88,16重庆债16,99.37,3.1501,15.01,3.1501,,0.8849,否
89,20进出03,97.57,3.2681,-0.19,3.2725,,2.3315,否
90,20兴业银行CD131,97.78,3.18,-1.01,3.2495,,0.3836,否
91,19附息国债02,99.91,2.8298,-2.02,2.8376,,0.2077,否
92,20郑州银行CD265,98.32,3.4199,1.0,3.4249,,0.4877,否
93,18农发09,100.57,2.9701,1.0,2.9486,,0.4822,否
94,20贴现国债57,98.59,2.85,-2.0,2.8601,,0.4603,否
95,19国开09,99.90,3.5175,-1.25,3.5189,,5.6822,否
96,18农发12,100.17,3.1084,10.84,3.0685,,0.9562,否
97,17附息国债04,101.92,3.0555,-0.84,3.0555,,6.1749,否
98,20宁沪高SCP028,99.50,3.4301,,3.4285,,0.5479,否
99,20交通银行CD167,96.96,3.2,-3.99,3.2036,,0.6959,否
100,20民生银行CD027,97.15,3.1002,-0.97,3.0602,,0.1639,否
101,19招商银行小微债01,100.13,3.3523,-0.04,3.3522,,1.5863,否
102,20浦发银行CD482,97.63,3.24,1.0,3.2441,,0.663,否
103,18国开11,101.21,3.275,7.25,3.2788,,2.6849,否
104,20宁波银行CD044,97.26,3.11,-21.99,3.11,,0.2329,否
105,20兴业银行CD329,96.96,3.21,-14.0,3.2123,,0.6822,否
106,16附息国债14,99.76,3.045,-2.5,3.025,,2.5233,否
107,18民生银行01,100.52,3.27,1.0,3.3935,,0.9589,否
108,16国开13,97.65,3.51,-0.5,3.511,,5.7151,否
109,18国开08,100.41,2.9201,-1.5,2.9265,,0.3863,否
110,16贵州债26,99.34,3.17,,3.17,,0.9178,否
111,20农发清发01,98.89,3.155,-0.5,3.1582,,1.2603,否
112,13附息国债18,103.80,2.615,-6.39,2.615,,2.7068,否
113,17山东06,101.75,2.95,-1.0,2.941,,1.4548,否
114,20民生银行CD357,96.93,3.25,-4.99,3.25,,0.6932,否
115,20浦发银行CD469,97.63,3.2501,3.01,3.2501,,0.6438,否
116,19附息国债09,100.20,2.3634,0.73,2.3624,,0.5918,否
117,18附息国债13,102.10,3.1,10.0,3.1,,4.4986,否
118,20民生银行CD097,97.32,3.2501,,3.2501,,0.2438,否
119,07特别国债02,103.09,2.88,13.0,2.88,,1.7808,否
120,20进出08,99.65,2.9299,-0.02,2.9239,,0.5014,否
121,20中铝MTN002,100.00,6.9417,,6.9417,,1.9918,是
122,20泰山投资PPN001,100.00,4.9298,,4.9298,,4.9918,否
123,20广发银行CD233,99.24,3.1001,0.01,3.1054,,0.2329,否
124,20铁塔股份SCP005,99.83,3.0555,-33.47,3.0555,,0.1175,否
125,17国开15,104.13,3.5357,1.57,3.5327,,6.7123,否
126,20浦发银行CD366,97.70,3.1901,-132.09,3.3471,,0.4904,否
127,20交通银行CD046,97.90,3.1601,0.02,3.1601,,0.337,否
128,20浦发银行CD137,97.62,3.1601,1.0,3.14,,0.3315,否
129,20铁塔股份SCP007,99.65,3.2757,-0.42,3.2757,,0.3562,否
130,20铁塔股份SCP006,99.82,3.0803,-11.98,3.0803,,0.1257,否
131,15江苏债26,101.03,3.0224,-8.11,3.0223,,1.7616,否
132,20南航股SCP014,99.83,3.7636,18.38,3.7636,,0.0902,否
133,09附息国债11,102.19,3.0282,-1.65,3.0282,,3.5096,否
134,20兴业银行CD378,99.34,1.6969,4.67,1.6003,,0.0082,否
135,19附息国债11,99.62,2.985,-0.5,2.9939,,1.6685,否
136,19国开07,100.06,3.13,0.17,3.1429,,1.4411,否
137,20深能源SCP002,99.85,3.26,-17.01,3.2587,,0.4274,否
138,20浦发银行CD221,98.04,3.1101,1.0,3.1101,,0.2767,否
139,20农业银行CD083,98.55,3.0798,-2.02,3.0849,,0.1776,否
140,20江苏银行CD222,96.76,3.3488,-0.09,3.3591,,0.989,否
141,16农发03,100.01,2.7824,6.04,2.7621,,0.082,否
142,20华夏银行CD391,99.25,2.9897,-1.06,2.9899,,0.1393,否
143,20兴业银行CD173,97.64,3.18,-12.0,3.18,,0.463,否
144,20浦发银行CD056,97.28,3.0901,-23.77,3.1136,,0.1995,否
145,20重庆旅投GN001,100.00,5.1898,,5.1898,,4.9918,否
146,20中石化MTN003,96.90,3.53,-11.78,3.6357,,2.4712,否
147,20农业银行CD013,98.31,1.8494,4.88,1.8496,,0.0301,否
148,20华安证券CP003,100.00,3.2991,,3.2991,,0.224,否
149,20浙商资产PPN006,100.00,3.9987,,3.9985,,0.4849,否
150,20江苏银行CD062,97.64,3.2399,1.0,3.2399,,0.4274,否
151,16重庆农商二级,99.97,3.8055,17.5,3.8055,,6.0055,否
152,20抗疫国债03,95.33,3.345,1.45,3.345,,9.5452,否
153,20农发05,95.31,3.42,1.0,3.4274,,4.3726,否
154,18国开14,103.22,3.42,1.0,3.4118,,4.8849,否
155,20申迪MTN003,100.00,4.0498,,4.0498,,2.9918,否
156,19汇金MTN015,99.36,3.55,1.0,3.5514,,1.8027,否
157,20抗疫国债04,96.40,3.3,-0.15,3.3375,,9.6055,否
158,18国开10,102.79,3.61,-1.0,3.6057,,7.5781,否
159,19农发清发01,100.05,2.97,-2.0,3.0043,,0.5151,否
160,18中信银行二级01,101.98,4.6472,-0.75,4.6469,,7.7671,否
161,20中远海运SCP004,99.48,3.2827,0.26,3.2894,,0.4219,否
162,19农发08,99.71,3.6857,16.57,3.6857,,5.6137,否
163,20浦发银行CD384,98.33,3.7545,-0.76,3.4611,,0.2685,否
165,20青海银行CD034,99.76,2.7988,,2.7988,,0.0765,否
166,20华夏银行CD095,97.56,3.1,0.01,3.1,,0.3096,否
167,17农发15,105.14,3.52,-1.44,3.5192,,6.7534,否
168,20国开01,99.95,2.7796,-2.02,2.7851,,0.1038,否
169,18浙商银行01,100.72,3.3359,-0.41,3.3378,,0.726,否
170,17宁波银行二级,101.61,4.5272,6.92,4.5272,,7.0027,否
171,18汇金MTN004BC,100.48,3.1501,-10.0,3.1501,,0.3644,否
172,20贴现国债55,99.28,2.9401,3.5,2.9292,,0.1913,否
173,20建设银行CD056,97.02,3.2,10.0,3.2,,0.6247,否
174,16国开18,100.46,2.96,-3.0,2.9888,,1.0027,否
175,18进出09,102.59,3.28,19.6,3.4602,,2.5315,否
176,20附息国债04,91.65,3.869,-0.52,3.8738,,29.2712,否
177,19附息国债16,99.89,3.14,-1.0,3.1323,,5.9945,否
178,17内蒙02,102.13,2.92,-19.0,2.92,,1.4575,否
179,20江苏银行CD066,97.62,3.22,-27.99,3.4862,,0.4329,否
180,19中交房产MTN002,99.65,3.9112,10.81,3.9112,,1.6685,否
181,20中国银行CD057,98.54,3.07,-17.98,3.0767,,0.2022,否
182,16兴业银行二级,100.10,3.7165,-0.07,3.7165,,5.3479,否
183,20民生银行CD109,97.50,3.1098,-15.03,3.1098,,0.2575,否
184,18附息国债07,100.21,2.73,0.01,2.73,,0.3452,否
185,20北京农商银行CD279,98.44,3.1792,,3.1792,,0.4904,否
186,20平安银行CD061,97.25,3.1001,4.99,3.1001,,0.2213,否
187,20兴业银行CD448,99.25,3.0001,-172.25,3.2848,,0.1393,否
188,20常城建PPN003,100.00,4.4997,,4.4997,,2.9918,否
189,20粤科金融SCP002,99.69,3.4907,,3.4953,,0.3342,否
190,20潞安CP001,99.72,4.0879,37.84,4.0879,,0.2158,否
191,20厦门银行CD184,99.36,2.0495,,2.0785,,0.0492,否
192,20厦门国际银行CD118,99.36,2.0007,-64.96,2.0006,,0.0601,否
193,20中国银行CD031,97.17,3.1999,,3.1999,,0.5863,否
194,16山东债07,99.97,3.1019,-7.09,3.102,,2.2575,否
195,18农发08,102.53,3.2757,-1.6,3.2757,,2.463,否
196,19中电信MTN002,99.94,3.4527,-4.27,3.4527,,1.2822,否
197,18中建MTN002,102.33,3.7658,1.34,3.7658,,2.6932,否
198,19中国华融债01(品种一),100.05,3.6716,-2.88,3.6716,,1.937,否
199,19广发证券金融债01,100.08,3.5685,-8.34,3.5685,,1.6247,否
200,17附息国债22,107.78,3.8147,-3.56,3.8146,,26.8767,否
201,20中信建投CP013,100.01,2.1995,-40.08,2.1995,,0.0301,否
202,20首都机场MTN001A,96.93,3.73,3.23,3.73,,2.3918,否
203,17广西债12,103.88,3.2,1.0,3.2,,3.4603,否
204,20河北银行CD100,98.38,3.2987,,3.2987,,0.4877,否
205,20浙商资产PPN005,100.00,4.1686,,4.1683,,0.4849,否
206,19国开15,97.96,3.725,0.25,3.7303,,8.7863,否
207,20进出09,99.71,2.9669,-0.31,2.9678,,0.6356,否
208,18农发06,106.68,3.605,-1.5,3.6204,,7.4247,否
209,19进出03,99.86,3.0774,-1.0,3.0841,,1.1803,否
210,20贵州银行CD035,97.34,3.41,1.0,3.41,,0.463,否
211,20农业银行CD109,99.37,1.7495,-10.14,1.7845,,0.0246,否
212,20连云城建PPN004,100.00,4.8997,,4.8997,,2.9918,否
213,20汉江国资CP001,100.00,3.7888,,3.7888,,0.9918,否
214,20银川通联CP002,100.00,4.3784,,4.3782,,0.9918,否
215,14国开11,106.63,3.5216,29.87,3.5216,,3.3342,否
216,17国开06,101.12,3.1577,0.77,3.1561,,1.3589,否
217,20农业银行CD078,98.29,4.7408,-1.24,3.5612,,0.1639,否
218,19国开05,98.48,3.7,1.5,3.6917,,8.0874,否
219,19国开14,99.58,3.2017,-0.67,3.2013,,1.8822,否
220,19招商证券金融债01BC,99.73,3.6,-9.72,3.6078,,1.8438,否
221,20中国银行CD055,98.55,3.0201,-6.0,3.0201,,0.1995,否
222,16进出02,100.02,2.89,1.0,2.844,,0.2104,否
223,19陕煤化MTN001,99.88,4.4597,-3.84,4.4597,,3.4548,否
224,18附息国债24,103.47,3.875,7.5,3.8695,,27.874,否
225,19长城债02BC(品种一),100.54,3.4605,-3.8,3.4605,,1.3808,否
226,20桂林银行CD270,98.28,3.4987,,3.4987,,0.4877,否
227,20中色MTN003,100.00,7.4549,,7.4549,,1.9918,是
228,19首都机场GN001,99.31,3.8982,-2.27,3.8982,,3.7397,否
229,19中信银行永续债,98.20,4.7028,-2.72,4.7028,,4.0109,是
230,20成都农商银行CD050,99.34,1.8519,,1.8519,,0.0246,否
231,16附息国债15,99.86,2.85,-1.09,2.8696,,0.6,否
232,20华夏银行CD452,99.25,3.06,-3.98,3.068,,0.2329,否
233,20民生银行CD498,98.35,3.3999,21.99,3.3999,,0.3918,否
234,20中粮SCP005,99.61,3.2499,-132.14,3.2487,,0.2438,否
235,20重庆农村商行CD274,98.40,3.2701,1.0,3.774,,0.4685,否
236,20徽商银行CD046,98.87,1.8513,-14.87,1.8513,,0.0273,否
237,18附息国债11,103.15,3.21,-0.93,3.21,,7.4411,否
238,20建设银行CD088,98.10,4.977,-0.46,4.2283,,0.2213,否
239,20台州银行CD046,98.35,3.3901,6.0,3.3901,,0.4219,否
240,16进出16,100.30,2.9861,-3.3,2.9857,,0.9945,否
241,20浙商银行CD095,99.25,2.9897,-1.38,2.9897,,0.1366,否
242,20北京银行CD092,96.86,3.3399,3.99,3.3399,,0.6795,否
243,20平安银行CD299,99.22,3.0798,-3.0,3.0798,,0.1995,否
244,20民生银行CD134,97.54,3.0999,1.0,3.0999,,0.2959,否
245,20附息国债03,98.33,3.02,-0.03,3.0108,,2.2411,否
246,20国泰君安CP009,100.01,2.2026,19.96,2.2013,,0.0109,否
247,20农业银行二级01,94.88,3.7548,4.75,3.7546,,9.411,否
248,17武汉农商二级,100.81,4.8539,-5.68,4.8999,,6.8082,否
249,20民生银行CD070,97.25,3.1001,1.0,3.1034,,0.2186,否
250,20长沙农商银行CD063,98.32,3.419,,3.419,,0.4904,否
251,20中国银行CD012,97.79,3.1501,1.0,3.1501,,0.3836,否
252,13国开40,103.73,3.2679,-2.21,3.2679,,2.737,否
253,20中国银行CD009,97.73,3.3934,-80.78,3.7395,,0.3726,否
254,17进出04,101.19,3.0753,-1.47,3.0751,,1.2822,否
255,18国开04,103.14,3.235,1.08,3.2375,,2.2904,否
256,17进出09,101.34,3.22,0.5,3.2124,,1.589,否
257,18陕煤化PPN004,100.85,4.05,-4.55,4.0514,,0.8822,否
258,12中石油06,101.35,3.44,-5.62,3.4509,,1.3452,否
259,15进出14,101.92,3.425,-0.5,3.425,,4.7699,否
260,16黑龙江债02,99.94,2.9088,,2.9094,,0.3425,否
261,19青岛财富PPN001,100.00,4.8938,12.4,4.8938,,3.7644,否
262,17湖北债02,103.83,3.2,4.5,3.2,,3.4658,否
263,19国开04,101.10,3.4439,-3.03,3.4419,,5.2213,否
264,20贴现国债52,98.60,2.8854,2.53,2.8583,,0.3836,否
265,19进出10,100.22,3.827,11.7,3.8244,,8.4493,否
266,16甬城投MTN001,100.18,7.2938,0.51,7.2938,,0.3918,是
267,20山西债24,100.26,3.3848,1.53,3.3848,,6.7918,否
268,20广西债38,100.32,3.3837,,3.3837,,6.7562,否
269,20中国核建SCP003,100.00,2.0487,-45.29,2.0548,,0.0191,否
270,16神华MTN002,100.25,3.7066,1.81,3.7066,,2.2213,否
271,20交通银行CD040,96.96,4.9772,188.71,4.9772,,0.274,否
272,19国开绿债01,99.77,3.22,-1.5,3.22,,1.9562,否
273,20江北新区SCP001,99.47,3.7806,,3.7869,,0.4164,否
274,20华夏银行CD099,98.45,1.9496,-50.03,1.9496,,0.0656,否
275,20中国铜业SCP005,99.83,3.8,1.0,3.7982,,0.4247,否
276,20民生银行CD366,96.94,3.24,-0.99,3.24,,0.7014,否
277,20北京农商银行CD116,97.09,3.4413,-0.4,3.4413,,0.526,否
278,20华夏银行CD052,97.06,3.9253,-0.99,3.9253,,0.2049,否
279,20光大银行CD276,97.64,3.22,,3.22,,0.6521,否
280,20江苏银行CD199,99.80,1.4504,-28.2,1.4869,,0.0082,否
281,19紫金矿业MTN001A,100.01,3.78,1.0,3.78,,1.2575,否
282,20兴业银行CD150,97.70,3.1999,3.0,3.1999,,0.4247,否
283,20农业银行CD016,97.45,3.1,5.01,3.105,,0.2795,否
284,20宁沪高SCP024,99.65,3.2697,-1.02,3.2672,,0.2986,否
285,20杭州银行CD173,99.36,2.0494,-57.03,2.0494,,0.0546,否
286,12中信集MTN2,102.03,3.55,-2.0,3.551,,1.3068,否
287,20汉口银行CD093,96.69,3.48,,3.48,,0.7014,否
288,17云南10,102.56,3.23,,3.2325,,3.589,否
289,20招商银行CD127,97.75,3.2,,3.2,,0.4411,否
290,20浦发银行CD141,97.90,3.1801,0.01,3.1701,,0.337,否
291,20农业银行CD137,98.45,3.14,-1.01,3.155,,0.3918,否
292,20江苏银行CD117,97.60,3.5989,80.03,3.5989,,0.3945,否
293,19四川104,99.72,3.33,,3.3,,3.6411,否
294,18匈牙利债01,100.00,4.3,0.14,4.3,,1.0328,否
295,20兴业银行CD409,97.65,3.24,2.0,3.24,,0.5945,否
296,20民生银行CD138,97.61,3.0999,1.0,3.0999,,0.2986,否
297,20浦发银行CD444,99.25,2.9903,-2.0,2.9903,,0.1257,否
298,20光大银行CD121,98.05,3.1,0.01,3.1,,0.274,否
299,20中信银行CD284,97.64,3.2301,-5.84,3.2375,,0.663,否
300,17湖北债29,108.52,3.33,1.0,3.33,,6.9726,否
301,20民生银行CD547,97.62,3.26,1.0,3.26,,0.7205,否
302,20广州银行CD085,98.41,3.25,1.0,3.25,,0.4219,否
303,20贵州银行CD002,96.96,3.2201,-14.97,3.2201,,0.1639,否
304,20民生银行CD364,98.51,3.1657,-23.0,3.1657,,0.2049,否
305,20建设银行CD138,98.46,3.1381,3.82,3.1381,,0.3836,否
306,20民生银行CD361,98.52,3.1679,6.81,3.1679,,0.2022,否
307,20附息国债07,95.44,3.94,1.0,3.9477,,49.463,否
308,15国开18,101.33,3.4291,5.12,3.4296,,4.7589,否
309,20交通银行02,99.75,3.59,1.0,3.592,,2.9342,否
310,13附息国债11,100.80,3.04,,3.0267,,2.4575,否
311,17江苏债03,100.73,2.93,,2.93,,1.3397,否
312,20江苏银行CD221,96.76,3.35,-5.0,3.3868,,0.9863,否
313,20宁波银行CD173,99.34,1.9986,19.84,1.1368,,0.0191,否
314,20农发02,97.65,3.2682,-0.18,3.2701,,2.3151,否
315,16农发04,100.14,3.248,-0.1,3.2495,,2.082,否
316,20国开05,95.05,3.71,-1.0,3.7201,,9.2548,否
317,20深圳机场CP001,99.53,3.4073,1.27,3.3995,,0.5589,否
318,20曹妃国控PPN001,100.18,6.0971,,6.0974,,2.3945,否
319,19建设银行CD225,97.01,1.8004,-65.0,1.8151,,0.0273,否
320,20民生银行CD167,97.84,3.1599,1.0,3.1599,,0.3562,否
321,20浦东开发MTN001,99.34,3.6943,-5.47,3.6937,,4.0874,否
323,20万华化学SCP004,99.68,3.4302,-11.99,3.4302,,0.1776,否
324,20永煤PPN002,43.20,55.5189,,55.9331,,2.2932,否
325,20中交四局MTN002,100.00,7.3484,,7.3484,,1.9918,是
326,19长城债01(品种一),100.24,3.4506,-0.09,3.4506,,1.3151,否
327,20桐昆SCP004,99.36,4.3,,4.2983,,0.463,否
328,20大连05,94.98,3.9625,,3.9613,,19.4877,否
329,20农业银行CD059,98.62,3.0103,0.08,3.0103,,0.1257,否
330,14国开28,101.11,2.98,1.0,2.9765,,0.9534,否
331,20国开06,99.34,2.97,2.99,2.9548,,0.3589,否
332,20民生银行CD086,97.33,3.1201,-15.99,3.1201,,0.2356,否
